 Monthly_Income , Total_outstanding_loans ,Defaulter
" $3,149.00 "," $138,227.00 ",NO
" $3,150.00 "," $131,685.00 ",NO
" $3,154.00 "," $462,757.00 ",YES
" $3,154.00 "," $137,824.00 ",NO
" $3,154.00 "," $98,596.00 ",NO
" $3,160.00 "," $25,097.00 ",NO
" $3,163.00 "," $305,166.00 ",YES
" $3,164.00 "," $63,077.00 ",NO
" $3,167.00 "," $97,933.00 ",NO
" $3,174.00 "," $136,511.00 ",NO
" $3,176.00 "," $414,087.00 ",YES
" $3,182.00 "," $262,142.00 ",YES
" $3,183.00 "," $295,257.00 ",YES
" $3,183.00 "," $472,787.00 ",YES
" $3,183.00 "," $248,142.00 ",NO
" $3,184.00 "," $153,109.00 ",NO
" $3,187.00 "," $429,477.00 ",YES
" $3,190.00 "," $269,697.00 ",YES
" $3,191.00 "," $412,351.00 ",YES
" $3,196.00 "," $95,539.00 ",NO
" $3,204.00 "," $244,274.00 ",NO
" $3,205.00 "," $221,677.00 ",NO
" $3,208.00 "," $459,806.00 ",YES
" $3,212.00 "," $212,034.00 ",NO
" $3,212.00 "," $358,947.00 ",YES
" $3,215.00 "," $57,244.00 ",NO
" $3,215.00 "," $478,611.00 ",YES
" $3,221.00 "," $146,613.00 ",NO
" $3,223.00 "," $50,635.00 ",NO
" $3,225.00 "," $306,662.00 ",YES
" $3,226.00 "," $114,531.00 ",NO
" $3,227.00 "," $439,290.00 ",YES
" $3,228.00 "," $466,671.00 ",YES
" $3,230.00 "," $139,747.00 ",NO
" $3,236.00 "," $119,631.00 ",NO
" $3,236.00 "," $60,814.00 ",NO
" $3,238.00 "," $468,455.00 ",YES
" $3,238.00 "," $271,381.00 ",YES
" $3,240.00 "," $490,293.00 ",YES
" $3,242.00 "," $181,518.00 ",NO
" $3,250.00 "," $75,716.00 ",NO
" $3,250.00 "," $98,380.00 ",NO
" $3,252.00 "," $311,322.00 ",YES
" $3,253.00 "," $396,574.00 ",YES
" $3,257.00 "," $51,880.00 ",NO
" $3,262.00 "," $116,402.00 ",NO
" $3,262.00 "," $96,293.00 ",NO
" $3,266.00 "," $298,215.00 ",YES
" $3,269.00 "," $276,423.00 ",YES
" $3,275.00 "," $462,720.00 ",YES
" $3,276.00 "," $23,920.00 ",NO
" $3,277.00 "," $294,014.00 ",YES
" $3,277.00 "," $276,104.00 ",YES
" $3,279.00 "," $205,021.00 ",NO
" $3,283.00 "," $230,357.00 ",NO
" $3,284.00 "," $59,782.00 ",NO
" $3,285.00 "," $453,193.00 ",YES
" $3,290.00 "," $45,832.00 ",NO
" $3,298.00 "," $56,444.00 ",NO
" $3,300.00 "," $153,422.00 ",NO
" $3,301.00 "," $468,734.00 ",YES
" $3,306.00 "," $443,649.00 ",YES
" $3,310.00 "," $183,474.00 ",NO
" $3,311.00 "," $260,987.00 ",YES
" $3,315.00 "," $417,370.00 ",YES
" $3,316.00 "," $475,571.00 ",YES
" $3,317.00 "," $341,884.00 ",YES
" $3,318.00 "," $145,346.00 ",NO
" $3,319.00 "," $229,561.00 ",NO
" $3,324.00 "," $312,260.00 ",YES
" $3,327.00 "," $292,215.00 ",YES
" $3,327.00 "," $35,017.00 ",NO
" $3,331.00 "," $287,446.00 ",YES
" $3,336.00 "," $168,263.00 ",NO
" $3,339.00 "," $249,242.00 ",NO
" $3,340.00 "," $289,314.00 ",YES
" $3,341.00 "," $305,365.00 ",YES
" $3,345.00 "," $204,633.00 ",NO
" $3,346.00 "," $287,106.00 ",YES
" $3,347.00 "," $303,302.00 ",YES
" $3,347.00 "," $155,152.00 ",NO
" $3,357.00 "," $471,112.00 ",YES
" $3,359.00 "," $451,955.00 ",YES
" $3,361.00 "," $225,979.00 ",NO
" $3,362.00 "," $21,968.00 ",NO
" $3,363.00 "," $306,751.00 ",YES
" $3,366.00 "," $34,057.00 ",NO
" $3,366.00 "," $323,152.00 ",YES
" $3,373.00 "," $316,282.00 ",YES
" $3,381.00 "," $179,601.00 ",NO
" $3,382.00 "," $131,338.00 ",NO
" $3,388.00 "," $440,226.00 ",YES
" $3,389.00 "," $486,842.00 ",YES
" $3,390.00 "," $115,320.00 ",NO
" $3,391.00 "," $20,250.00 ",NO
" $3,397.00 "," $271,422.00 ",YES
" $3,399.00 "," $62,466.00 ",NO
" $3,400.00 "," $417,728.00 ",YES
" $3,404.00 "," $384,870.00 ",YES
" $3,404.00 "," $340,153.00 ",YES
" $3,418.00 "," $298,867.00 ",YES
" $3,421.00 "," $176,520.00 ",NO
" $3,422.00 "," $430,284.00 ",YES
" $3,430.00 "," $358,940.00 ",YES
" $3,430.00 "," $428,776.00 ",YES
" $3,433.00 "," $136,802.00 ",NO
" $3,439.00 "," $466,176.00 ",YES
" $3,440.00 "," $394,239.00 ",YES
" $3,444.00 "," $389,923.00 ",YES
" $3,445.00 "," $338,730.00 ",YES
" $3,447.00 "," $321,417.00 ",YES
" $3,453.00 "," $240,977.00 ",NO
" $3,454.00 "," $255,026.00 ",YES
" $3,459.00 "," $280,508.00 ",YES
" $3,461.00 "," $334,684.00 ",YES
" $3,463.00 "," $355,604.00 ",YES
" $3,463.00 "," $186,181.00 ",NO
" $3,464.00 "," $131,621.00 ",NO
" $3,464.00 "," $485,782.00 ",YES
" $3,465.00 "," $249,184.00 ",NO
" $3,466.00 "," $33,446.00 ",NO
" $3,469.00 "," $451,835.00 ",YES
" $3,470.00 "," $85,409.00 ",NO
" $3,475.00 "," $382,575.00 ",YES
" $3,476.00 "," $458,578.00 ",YES
" $3,479.00 "," $287,653.00 ",YES
" $3,479.00 "," $129,809.00 ",NO
" $3,484.00 "," $448,961.00 ",YES
" $3,487.00 "," $214,937.00 ",NO
" $3,491.00 "," $199,622.00 ",NO
" $3,495.00 "," $433,363.00 ",YES
" $3,496.00 "," $64,747.00 ",NO
" $3,497.00 "," $110,141.00 ",NO
" $3,498.00 "," $324,141.00 ",YES
" $3,500.00 "," $15,690.00 ",NO
" $3,506.00 "," $110,036.00 ",NO
" $3,512.00 "," $369,329.00 ",YES
" $3,514.00 "," $387,359.00 ",YES
" $3,514.00 "," $204,047.00 ",NO
" $3,519.00 "," $493,061.00 ",YES
" $3,519.00 "," $363,351.00 ",YES
" $3,520.00 "," $239,659.00 ",NO
" $3,521.00 "," $51,124.00 ",NO
" $3,523.00 "," $451,517.00 ",YES
" $3,526.00 "," $318,829.00 ",YES
" $3,526.00 "," $26,100.00 ",NO
" $3,527.00 "," $178,228.00 ",NO
" $3,529.00 "," $323,709.00 ",YES
" $3,531.00 "," $97,284.00 ",NO
" $3,532.00 "," $130,177.00 ",NO
" $3,533.00 "," $440,878.00 ",YES
" $3,535.00 "," $231,374.00 ",NO
" $3,539.00 "," $253,158.00 ",NO
" $3,539.00 "," $489,795.00 ",YES
" $3,543.00 "," $454,363.00 ",YES
" $3,546.00 "," $26,920.00 ",NO
" $3,546.00 "," $92,139.00 ",NO
" $3,547.00 "," $345,412.00 ",YES
" $3,556.00 "," $432,465.00 ",YES
" $3,557.00 "," $81,835.00 ",NO
" $3,557.00 "," $153,654.00 ",NO
" $3,563.00 "," $143,683.00 ",NO
" $3,564.00 "," $116,237.00 ",NO
" $3,566.00 "," $283,955.00 ",YES
" $3,570.00 "," $250,827.00 ",NO
" $3,571.00 "," $385,322.00 ",YES
" $3,573.00 "," $495,455.00 ",YES
" $3,575.00 "," $78,554.00 ",NO
" $3,575.00 "," $322,471.00 ",YES
" $3,579.00 "," $77,012.00 ",NO
" $3,583.00 "," $416,171.00 ",YES
" $3,584.00 "," $127,712.00 ",NO
" $3,584.00 "," $33,749.00 ",NO
" $3,592.00 "," $76,252.00 ",NO
" $3,595.00 "," $170,867.00 ",NO
" $3,598.00 "," $387,647.00 ",YES
" $3,598.00 "," $144,989.00 ",NO
" $3,599.00 "," $284,931.00 ",YES
" $3,604.00 "," $26,099.00 ",NO
" $3,607.00 "," $360,233.00 ",YES
" $3,610.00 "," $462,092.00 ",YES
" $3,616.00 "," $279,938.00 ",YES
" $3,616.00 "," $211,924.00 ",NO
" $3,617.00 "," $417,203.00 ",YES
" $3,626.00 "," $249,835.00 ",NO
" $3,630.00 "," $60,014.00 ",NO
" $3,637.00 "," $441,523.00 ",YES
" $3,638.00 "," $451,370.00 ",YES
" $3,640.00 "," $488,591.00 ",YES
" $3,641.00 "," $47,694.00 ",NO
" $3,648.00 "," $295,032.00 ",YES
" $3,656.00 "," $133,554.00 ",NO
" $3,663.00 "," $285,634.00 ",YES
" $3,663.00 "," $481,311.00 ",YES
" $3,666.00 "," $119,868.00 ",NO
" $3,666.00 "," $129,489.00 ",NO
" $3,668.00 "," $245,264.00 ",NO
" $3,668.00 "," $89,562.00 ",NO
" $3,675.00 "," $427,690.00 ",YES
" $3,676.00 "," $126,967.00 ",NO
" $3,676.00 "," $35,451.00 ",NO
" $3,679.00 "," $37,380.00 ",NO
" $3,681.00 "," $491,633.00 ",YES
" $3,683.00 "," $168,456.00 ",NO
" $3,685.00 "," $71,999.00 ",NO
" $3,687.00 "," $20,125.00 ",NO
" $3,687.00 "," $168,099.00 ",NO
" $3,689.00 "," $78,799.00 ",NO
" $3,693.00 "," $353,572.00 ",YES
" $3,699.00 "," $120,282.00 ",NO
" $3,703.00 "," $203,101.00 ",NO
" $3,703.00 "," $254,801.00 ",YES
" $3,704.00 "," $473,989.00 ",YES
" $3,705.00 "," $307,252.00 ",YES
" $3,705.00 "," $126,920.00 ",NO
" $3,706.00 "," $182,401.00 ",NO
" $3,711.00 "," $168,194.00 ",NO
" $3,712.00 "," $260,061.00 ",YES
" $3,713.00 "," $89,954.00 ",NO
" $3,713.00 "," $246,369.00 ",NO
" $3,713.00 "," $315,592.00 ",YES
" $3,715.00 "," $365,612.00 ",YES
" $3,720.00 "," $16,609.00 ",NO
" $3,722.00 "," $393,545.00 ",YES
" $3,727.00 "," $447,786.00 ",YES
" $3,728.00 "," $207,915.00 ",NO
" $3,730.00 "," $143,784.00 ",NO
" $3,730.00 "," $449,439.00 ",YES
" $3,736.00 "," $470,142.00 ",YES
" $3,740.00 "," $424,612.00 ",YES
" $3,742.00 "," $263,001.00 ",YES
" $3,746.00 "," $319,649.00 ",YES
" $3,752.00 "," $134,288.00 ",NO
" $3,754.00 "," $202,389.00 ",NO
" $3,762.00 "," $115,128.00 ",NO
" $3,767.00 "," $337,975.00 ",YES
" $3,770.00 "," $253,660.00 ",NO
" $3,772.00 "," $447,377.00 ",YES
" $3,774.00 "," $76,020.00 ",NO
" $3,782.00 "," $493,566.00 ",YES
" $3,782.00 "," $135,829.00 ",NO
" $3,786.00 "," $383,896.00 ",YES
" $3,786.00 "," $249,255.00 ",NO
" $3,791.00 "," $499,620.00 ",YES
" $3,791.00 "," $194,004.00 ",NO
" $3,797.00 "," $406,245.00 ",YES
" $3,801.00 "," $399,340.00 ",YES
" $3,811.00 "," $396,593.00 ",YES
" $3,818.00 "," $248,380.00 ",NO
" $3,819.00 "," $444,097.00 ",YES
" $3,827.00 "," $162,123.00 ",NO
" $3,830.00 "," $220,170.00 ",NO
" $3,839.00 "," $314,427.00 ",YES
" $3,840.00 "," $237,243.00 ",NO
" $3,843.00 "," $111,468.00 ",NO
" $3,844.00 "," $343,391.00 ",YES
" $3,847.00 "," $336,918.00 ",YES
" $3,848.00 "," $243,982.00 ",NO
" $3,852.00 "," $159,363.00 ",NO
" $3,854.00 "," $199,014.00 ",NO
" $3,857.00 "," $312,762.00 ",YES
" $3,857.00 "," $431,165.00 ",YES
" $3,859.00 "," $138,366.00 ",NO
" $3,860.00 "," $67,938.00 ",NO
" $3,863.00 "," $348,892.00 ",YES
" $3,873.00 "," $43,023.00 ",NO
" $3,875.00 "," $453,082.00 ",YES
" $3,879.00 "," $172,808.00 ",NO
" $3,889.00 "," $238,493.00 ",NO
" $3,890.00 "," $174,758.00 ",NO
" $3,900.00 "," $405,808.00 ",YES
" $3,909.00 "," $185,606.00 ",NO
" $3,909.00 "," $45,579.00 ",NO
" $3,910.00 "," $54,378.00 ",NO
" $3,914.00 "," $478,136.00 ",YES
" $3,915.00 "," $172,994.00 ",NO
" $3,916.00 "," $158,945.00 ",NO
" $3,916.00 "," $45,849.00 ",NO
" $3,916.00 "," $420,165.00 ",YES
" $3,916.00 "," $69,561.00 ",NO
" $3,919.00 "," $212,783.00 ",NO
" $3,920.00 "," $330,966.00 ",YES
" $3,921.00 "," $234,126.00 ",NO
" $3,922.00 "," $461,857.00 ",YES
" $3,922.00 "," $475,716.00 ",YES
" $3,922.00 "," $90,834.00 ",NO
" $3,925.00 "," $414,397.00 ",YES
" $3,928.00 "," $309,273.00 ",YES
" $3,929.00 "," $395,022.00 ",YES
" $3,931.00 "," $84,169.00 ",NO
" $3,931.00 "," $121,894.00 ",NO
" $3,938.00 "," $437,842.00 ",YES
" $3,943.00 "," $57,707.00 ",NO
" $3,943.00 "," $18,016.00 ",NO
" $3,949.00 "," $418,332.00 ",YES
" $3,950.00 "," $91,767.00 ",NO
" $3,950.00 "," $371,343.00 ",YES
" $3,951.00 "," $434,475.00 ",YES
" $3,954.00 "," $314,332.00 ",YES
" $3,955.00 "," $354,725.00 ",YES
" $3,958.00 "," $148,033.00 ",NO
" $3,961.00 "," $318,129.00 ",YES
" $3,962.00 "," $354,477.00 ",YES
" $3,962.00 "," $247,775.00 ",NO
" $3,963.00 "," $449,678.00 ",YES
" $3,964.00 "," $12,356.00 ",NO
" $3,964.00 "," $270,080.00 ",YES
" $3,967.00 "," $144,980.00 ",NO
" $3,969.00 "," $424,101.00 ",YES
" $3,972.00 "," $31,134.00 ",NO
" $3,972.00 "," $366,767.00 ",YES
" $3,972.00 "," $148,992.00 ",NO
" $3,977.00 "," $212,380.00 ",NO
" $3,999.00 "," $71,363.00 ",NO
" $3,999.00 "," $253,042.00 ",NO
" $4,002.00 "," $285,283.00 ",YES
" $4,009.00 "," $370,197.00 ",YES
" $4,009.00 "," $205,058.00 ",NO
" $4,011.00 "," $400,280.00 ",YES
" $4,016.00 "," $274,538.00 ",YES
" $4,029.00 "," $331,324.00 ",YES
" $4,032.00 "," $294,702.00 ",YES
" $4,033.00 "," $270,373.00 ",YES
" $4,033.00 "," $163,600.00 ",NO
" $4,035.00 "," $42,232.00 ",NO
" $4,038.00 "," $442,840.00 ",YES
" $4,041.00 "," $91,732.00 ",NO
" $4,041.00 "," $457,247.00 ",YES
" $4,041.00 "," $365,567.00 ",YES
" $4,047.00 "," $240,678.00 ",NO
" $4,051.00 "," $19,091.00 ",NO
" $4,052.00 "," $234,647.00 ",NO
" $4,053.00 "," $270,707.00 ",YES
" $4,054.00 "," $36,017.00 ",NO
" $4,055.00 "," $394,210.00 ",YES
" $4,055.00 "," $47,421.00 ",NO
" $4,060.00 "," $157,472.00 ",NO
" $4,061.00 "," $376,203.00 ",YES
" $4,062.00 "," $184,698.00 ",NO
" $4,063.00 "," $466,338.00 ",YES
" $4,065.00 "," $236,610.00 ",NO
" $4,069.00 "," $221,369.00 ",NO
" $4,069.00 "," $305,681.00 ",YES
" $4,070.00 "," $64,539.00 ",NO
" $4,071.00 "," $185,581.00 ",NO
" $4,074.00 "," $57,189.00 ",NO
" $4,083.00 "," $405,494.00 ",YES
" $4,086.00 "," $492,225.00 ",YES
" $4,091.00 "," $35,729.00 ",NO
" $4,094.00 "," $463,677.00 ",YES
" $4,099.00 "," $224,467.00 ",NO
" $4,100.00 "," $201,100.00 ",NO
" $4,103.00 "," $445,229.00 ",YES
" $4,105.00 "," $418,451.00 ",YES
" $4,110.00 "," $493,808.00 ",YES
" $4,113.00 "," $12,756.00 ",NO
" $4,114.00 "," $241,138.00 ",NO
" $4,116.00 "," $239,434.00 ",NO
" $4,117.00 "," $100,968.00 ",NO
" $4,117.00 "," $387,187.00 ",YES
" $4,119.00 "," $430,331.00 ",YES
" $4,120.00 "," $429,668.00 ",YES
" $4,124.00 "," $14,120.00 ",NO
" $4,124.00 "," $16,845.00 ",NO
" $4,125.00 "," $98,169.00 ",NO
" $4,129.00 "," $246,988.00 ",NO
" $4,131.00 "," $355,884.00 ",YES
" $4,133.00 "," $334,785.00 ",YES
" $4,136.00 "," $94,379.00 ",NO
" $4,138.00 "," $91,340.00 ",NO
" $4,141.00 "," $487,158.00 ",YES
" $4,142.00 "," $387,834.00 ",YES
" $4,144.00 "," $420,000.00 ",YES
" $4,148.00 "," $408,798.00 ",YES
" $4,154.00 "," $200,712.00 ",NO
" $4,156.00 "," $257,467.00 ",YES
" $4,170.00 "," $301,523.00 ",YES
" $4,172.00 "," $454,197.00 ",YES
" $4,174.00 "," $22,720.00 ",NO
" $4,176.00 "," $307,492.00 ",YES
" $4,178.00 "," $195,536.00 ",NO
" $4,179.00 "," $155,425.00 ",NO
" $4,180.00 "," $335,522.00 ",YES
" $4,181.00 "," $49,986.00 ",NO
" $4,181.00 "," $450,973.00 ",YES
" $4,183.00 "," $400,813.00 ",YES
" $4,194.00 "," $372,165.00 ",YES
" $4,199.00 "," $161,469.00 ",NO
" $4,202.00 "," $488,411.00 ",YES
" $4,202.00 "," $263,060.00 ",YES
" $4,204.00 "," $167,269.00 ",NO
" $4,204.00 "," $16,887.00 ",NO
" $4,208.00 "," $258,044.00 ",YES
" $4,210.00 "," $312,286.00 ",YES
" $4,211.00 "," $79,149.00 ",NO
" $4,213.00 "," $174,475.00 ",NO
" $4,221.00 "," $156,694.00 ",NO
" $4,222.00 "," $114,140.00 ",NO
" $4,222.00 "," $288,129.00 ",YES
" $4,234.00 "," $387,721.00 ",YES
" $4,236.00 "," $230,574.00 ",NO
" $4,236.00 "," $443,646.00 ",YES
" $4,237.00 "," $61,625.00 ",NO
" $4,237.00 "," $171,253.00 ",NO
" $4,238.00 "," $415,785.00 ",YES
" $4,238.00 "," $281,478.00 ",YES
" $4,242.00 "," $443,058.00 ",YES
" $4,245.00 "," $214,630.00 ",NO
" $4,248.00 "," $270,981.00 ",YES
" $4,250.00 "," $478,136.00 ",YES
" $4,251.00 "," $244,080.00 ",NO
" $4,253.00 "," $482,503.00 ",YES
" $4,254.00 "," $301,377.00 ",YES
" $4,257.00 "," $79,404.00 ",NO
" $4,257.00 "," $254,595.00 ",YES
" $4,259.00 "," $478,811.00 ",YES
" $4,264.00 "," $337,137.00 ",YES
" $4,267.00 "," $244,052.00 ",NO
" $4,269.00 "," $102,224.00 ",NO
" $4,275.00 "," $460,835.00 ",YES
" $4,276.00 "," $216,469.00 ",NO
" $4,277.00 "," $159,889.00 ",NO
" $4,281.00 "," $411,145.00 ",YES
" $4,285.00 "," $219,853.00 ",NO
" $4,286.00 "," $396,485.00 ",YES
" $4,287.00 "," $445,025.00 ",YES
" $4,291.00 "," $165,904.00 ",NO
" $4,296.00 "," $120,768.00 ",NO
" $4,297.00 "," $468,159.00 ",YES
" $4,301.00 "," $71,426.00 ",NO
" $4,304.00 "," $436,435.00 ",YES
" $4,306.00 "," $39,990.00 ",NO
" $4,308.00 "," $408,492.00 ",YES
" $4,315.00 "," $66,807.00 ",NO
" $4,318.00 "," $350,549.00 ",YES
" $4,320.00 "," $56,510.00 ",NO
" $4,321.00 "," $112,414.00 ",NO
" $4,323.00 "," $496,664.00 ",YES
" $4,325.00 "," $247,571.00 ",NO
" $4,333.00 "," $466,202.00 ",YES
" $4,337.00 "," $152,886.00 ",NO
" $4,338.00 "," $155,355.00 ",NO
" $4,338.00 "," $109,116.00 ",NO
" $4,340.00 "," $54,289.00 ",NO
" $4,350.00 "," $300,355.00 ",YES
" $4,351.00 "," $303,777.00 ",YES
" $4,351.00 "," $273,440.00 ",YES
" $4,354.00 "," $234,532.00 ",NO
" $4,356.00 "," $18,217.00 ",NO
" $4,360.00 "," $307,024.00 ",YES
" $4,360.00 "," $83,533.00 ",NO
" $4,360.00 "," $167,040.00 ",NO
" $4,365.00 "," $181,592.00 ",NO
" $4,385.00 "," $262,229.00 ",YES
" $4,391.00 "," $64,534.00 ",NO
" $4,397.00 "," $124,554.00 ",NO
" $4,398.00 "," $223,253.00 ",NO
" $4,401.00 "," $321,011.00 ",YES
" $4,406.00 "," $353,532.00 ",YES
" $4,413.00 "," $370,726.00 ",YES
" $4,418.00 "," $369,669.00 ",YES
" $4,418.00 "," $122,684.00 ",NO
" $4,419.00 "," $19,784.00 ",NO
" $4,421.00 "," $181,885.00 ",NO
" $4,423.00 "," $213,909.00 ",NO
" $4,425.00 "," $429,803.00 ",YES
" $4,428.00 "," $93,411.00 ",NO
" $4,434.00 "," $289,145.00 ",YES
" $4,444.00 "," $261,215.00 ",YES
" $4,449.00 "," $46,555.00 ",NO
" $4,450.00 "," $470,872.00 ",YES
" $4,450.00 "," $277,389.00 ",YES
" $4,455.00 "," $489,248.00 ",YES
" $4,458.00 "," $192,940.00 ",NO
" $4,458.00 "," $345,389.00 ",YES
" $4,462.00 "," $274,551.00 ",YES
" $4,464.00 "," $214,492.00 ",NO
" $4,464.00 "," $69,669.00 ",NO
" $4,468.00 "," $476,241.00 ",YES
" $4,474.00 "," $20,794.00 ",NO
" $4,477.00 "," $359,075.00 ",YES
" $4,478.00 "," $271,864.00 ",YES
" $4,488.00 "," $158,745.00 ",NO
" $4,497.00 "," $256,036.00 ",YES
" $4,499.00 "," $185,896.00 ",NO
" $4,501.00 "," $274,625.00 ",YES
" $4,506.00 "," $172,998.00 ",NO
" $4,508.00 "," $179,923.00 ",NO
" $4,509.00 "," $481,516.00 ",YES
" $4,511.00 "," $411,932.00 ",YES
" $4,514.00 "," $249,889.00 ",NO
" $4,522.00 "," $115,668.00 ",NO
" $4,524.00 "," $54,338.00 ",NO
" $4,528.00 "," $334,090.00 ",YES
" $4,528.00 "," $213,501.00 ",NO
" $4,535.00 "," $246,598.00 ",NO
" $4,538.00 "," $168,116.00 ",NO
" $4,544.00 "," $194,124.00 ",NO
" $4,546.00 "," $454,320.00 ",YES
" $4,548.00 "," $55,456.00 ",NO
" $4,558.00 "," $318,059.00 ",YES
" $4,559.00 "," $329,299.00 ",YES
" $4,562.00 "," $28,538.00 ",NO
" $4,564.00 "," $82,357.00 ",NO
" $4,569.00 "," $493,059.00 ",YES
" $4,573.00 "," $357,427.00 ",YES
" $4,574.00 "," $320,352.00 ",YES
" $4,578.00 "," $131,475.00 ",NO
" $4,583.00 "," $282,901.00 ",YES
" $4,584.00 "," $187,118.00 ",NO
" $4,584.00 "," $343,439.00 ",YES
" $4,587.00 "," $458,661.00 ",YES
" $4,592.00 "," $126,432.00 ",NO
" $4,594.00 "," $261,666.00 ",YES
" $4,600.00 "," $89,788.00 ",NO
" $4,603.00 "," $186,935.00 ",NO
" $4,610.00 "," $230,868.00 ",NO
" $4,611.00 "," $266,044.00 ",YES
" $4,612.00 "," $249,680.00 ",NO
" $4,612.00 "," $76,140.00 ",NO
" $4,614.00 "," $241,347.00 ",NO
" $4,615.00 "," $31,156.00 ",NO
" $4,618.00 "," $211,442.00 ",NO
" $4,619.00 "," $57,860.00 ",NO
" $4,623.00 "," $64,557.00 ",NO
" $4,624.00 "," $48,279.00 ",NO
" $4,627.00 "," $152,332.00 ",NO
" $4,627.00 "," $78,840.00 ",NO
" $4,629.00 "," $115,912.00 ",NO
" $4,629.00 "," $188,887.00 ",NO
" $4,632.00 "," $287,174.00 ",YES
" $4,635.00 "," $201,971.00 ",NO
" $4,637.00 "," $149,176.00 ",NO
" $4,638.00 "," $43,637.00 ",NO
" $4,642.00 "," $161,064.00 ",NO
" $4,643.00 "," $72,010.00 ",NO
" $4,643.00 "," $20,488.00 ",NO
" $4,643.00 "," $494,396.00 ",YES
" $4,644.00 "," $10,041.00 ",NO
" $4,646.00 "," $451,826.00 ",YES
" $4,649.00 "," $86,670.00 ",NO
" $4,649.00 "," $469,098.00 ",YES
" $4,659.00 "," $234,279.00 ",NO
" $4,663.00 "," $158,933.00 ",NO
" $4,664.00 "," $174,897.00 ",NO
" $4,666.00 "," $226,660.00 ",NO
" $4,668.00 "," $432,385.00 ",YES
" $4,668.00 "," $294,153.00 ",YES
" $4,669.00 "," $401,979.00 ",YES
" $4,670.00 "," $238,815.00 ",NO
" $4,672.00 "," $229,036.00 ",NO
" $4,672.00 "," $108,721.00 ",NO
" $4,675.00 "," $383,795.00 ",YES
" $4,676.00 "," $14,493.00 ",NO
" $4,676.00 "," $435,571.00 ",YES
" $4,677.00 "," $293,516.00 ",YES
" $4,680.00 "," $388,440.00 ",YES
" $4,684.00 "," $228,319.00 ",NO
" $4,689.00 "," $349,023.00 ",YES
" $4,702.00 "," $17,415.00 ",NO
" $4,702.00 "," $399,148.00 ",YES
" $4,706.00 "," $334,010.00 ",YES
" $4,714.00 "," $388,941.00 ",YES
" $4,714.00 "," $245,921.00 ",NO
" $4,717.00 "," $308,774.00 ",YES
" $4,722.00 "," $462,456.00 ",YES
" $4,722.00 "," $435,626.00 ",YES
" $4,723.00 "," $51,228.00 ",NO
" $4,725.00 "," $295,000.00 ",YES
" $4,726.00 "," $421,250.00 ",YES
" $4,746.00 "," $45,713.00 ",NO
" $4,748.00 "," $162,927.00 ",NO
" $4,750.00 "," $469,437.00 ",YES
" $4,751.00 "," $348,597.00 ",YES
" $4,752.00 "," $346,061.00 ",YES
" $4,753.00 "," $188,524.00 ",NO
" $4,761.00 "," $113,197.00 ",NO
" $4,761.00 "," $18,685.00 ",NO
" $4,764.00 "," $477,530.00 ",YES
" $4,768.00 "," $206,403.00 ",NO
" $4,770.00 "," $291,173.00 ",YES
" $4,771.00 "," $332,416.00 ",YES
" $4,772.00 "," $91,844.00 ",NO
" $4,776.00 "," $83,741.00 ",NO
" $4,777.00 "," $84,110.00 ",NO
" $4,777.00 "," $332,807.00 ",YES
" $4,780.00 "," $94,936.00 ",NO
" $4,781.00 "," $467,217.00 ",YES
" $4,787.00 "," $12,917.00 ",NO
" $4,789.00 "," $338,969.00 ",YES
" $4,793.00 "," $302,837.00 ",YES
" $4,796.00 "," $16,296.00 ",NO
" $4,803.00 "," $264,949.00 ",YES
" $4,805.00 "," $315,412.00 ",YES
" $4,805.00 "," $301,004.00 ",YES
" $4,806.00 "," $179,823.00 ",NO
" $4,813.00 "," $440,961.00 ",YES
" $4,813.00 "," $138,270.00 ",NO
" $4,814.00 "," $307,070.00 ",YES
" $4,816.00 "," $272,548.00 ",YES
" $4,818.00 "," $180,345.00 ",NO
" $4,819.00 "," $259,177.00 ",YES
" $4,823.00 "," $300,324.00 ",YES
" $4,829.00 "," $462,540.00 ",YES
" $4,833.00 "," $176,783.00 ",NO
" $4,833.00 "," $466,144.00 ",YES
" $4,838.00 "," $475,772.00 ",YES
" $4,843.00 "," $494,003.00 ",YES
" $4,845.00 "," $392,116.00 ",YES
" $4,854.00 "," $147,510.00 ",NO
" $4,855.00 "," $480,605.00 ",YES
" $4,859.00 "," $243,186.00 ",NO
" $4,860.00 "," $271,279.00 ",YES
" $4,862.00 "," $251,255.00 ",NO
" $4,862.00 "," $302,577.00 ",YES
" $4,864.00 "," $302,512.00 ",YES
" $4,866.00 "," $256,677.00 ",YES
" $4,869.00 "," $357,556.00 ",NO
" $4,871.00 "," $173,693.00 ",NO
" $4,879.00 "," $165,582.00 ",NO
" $4,883.00 "," $406,779.00 ",YES
" $4,890.00 "," $140,483.00 ",NO
" $4,894.00 "," $362,806.00 ",NO
" $4,894.00 "," $68,537.00 ",NO
" $4,895.00 "," $112,420.00 ",NO
" $4,896.00 "," $111,673.00 ",NO
" $4,899.00 "," $82,753.00 ",NO
" $4,902.00 "," $46,536.00 ",NO
" $4,904.00 "," $252,503.00 ",NO
" $4,904.00 "," $277,656.00 ",NO
" $4,908.00 "," $161,944.00 ",NO
" $4,915.00 "," $316,329.00 ",NO
" $4,915.00 "," $360,523.00 ",NO
" $4,916.00 "," $202,655.00 ",NO
" $4,917.00 "," $424,578.00 ",YES
